id,name,passport_no,birth_date,driving_permit_since
131,Ираида Иванова,615745238,1993-01-03,1998-10-21
132,Митрофан Смирнов,283238990,1987-05-07,1993-11-06
133,Феврония Смирнова,449078322,1985-03-07,1989-04-22
134,Еремей Елизаров,284892585,1985-03-30,1985-08-22
135,Харитон Лыков,777780152,1986-01-28,1998-01-05
136,Ульяна Смирнова,809974243,1982-06-17,1982-08-29
137,Мирон Черный,208504477,1983-09-04,1987-08-06
138,Евграф Михайлов,639561478,1981-03-25,1983-12-23
139,Аристарх Михайлов,289363565,1988-06-18,1993-11-13
140,Клавдия Минина,558597584,1984-03-14,1987-08-01
141,Митрофан Соколов,794021270,1992-01-10,1992-06-06
142,Ираида Кузнецова,380906983,1983-12-11,1999-04-16
143,Василиса Михайлова,576705329,1987-02-27,1991-08-27
144,Еремей Кузнецов,559890806,1992-02-26,1996-11-06
145,Феврония Соколова,967319629,1986-08-16,1998-09-22
146,Василиса Черная,112764197,1982-04-28,1996-05-27
147,Прасковья Агапова,874617276,1982-11-27,1995-12-30
148,Феврония Смирнова,711398380,1981-09-11,1981-12-18
149,Добрыня Лыков,905357489,1981-10-29,1989-04-02
150,Агафья Минина,912985224,1995-11-21,1996-06-17
151,Евграф Иванов,027859137,1994-02-12,1994-07-08
152,Еремей Елизаров,234503344,1982-01-23,1988-09-09
153,Авдей Попов,510135655,1991-12-03,1998-06-24
154,Евграф Калачев,794370393,1987-10-26,1997-08-10
155,Пелагея Смирнова,655103912,1982-11-18,1990-04-04
156,Варлам Лыков,267868710,1981-01-09,1993-03-18
157,Феврония Лыкова,284979591,1983-10-18,1989-12-21
158,Добрыня Лыков,653322958,1990-08-17,1998-08-04
159,Ираида Попова,317557194,1986-09-22,1995-01-09
160,Алевтина Грибова,423534709,1993-01-12,1993-08-20
161,Злата Елизарова,643698381,1982-05-16,1991-02-16
162,Варлам Агапов,388426797,1991-06-04,1996-02-14
163,Варлам Минин,750507870,1990-11-15,1993-11-02
164,Василиса Смирнова,958129521,1996-02-14,1999-08-14
165,Митрофан Васильев,086918054,1993-06-13,1995-03-07
166,Христофор Васильев,887701250,1996-03-24,1998-10-01
167,Митрофан Иванов,138267613,1986-05-28,1989-05-11
168,Добрыня Лыков,039908794,1984-09-10,1993-01-20
169,Христофор Елизаров,043538731,1993-11-26,1994-12-15
170,Феврония Кузнецова,554430516,1981-08-04,1992-11-03
171,Злата Попова,485520901,1985-01-30,1993-11-28
172,Добрыня Грибов,628660372,1988-04-25,1992-11-11
173,Ираида Соколова,024682376,1989-10-12,1991-11-29
174,Прасковья Смирнова,662192025,1983-02-10,1991-05-30
175,Клавдия Кузнецова,738195473,1989-08-10,1992-11-17
176,Митрофан Васильев,841152291,1992-03-16,1996-03-22
177,Феврония Лыкова,403912086,1995-03-22,1996-08-06
178,Ульяна Попова,716657596,1990-12-06,1997-03-09
179,Агафья Кузнецова,161786022,1991-03-10,1997-10-25
180,Мирон Елизаров,190363022,1997-10-24,1999-03-30
181,Феврония Кузнецова,387459776,1995-10-16,1996-08-25
182,Ираида Васильева,269334360,1988-07-18,1995-09-20
183,Пелагея Грибова,551013244,1988-03-08,1995-04-22
184,Злата Михайлова,037810369,1997-02-09,1997-07-30
185,Мирон Смирнов,794638459,1991-11-12,1993-11-08
186,Ульяна Смирнова,762600863,1997-02-04,1998-07-13
187,Феврония Калачева,074136459,1981-01-01,1983-09-21
188,Еремей Смирнов,178167286,1993-04-14,1995-05-01
189,Еремей Попов,755013632,1995-01-22,1995-11-10
190,Митрофан Елизаров,485962548,1990-06-27,1993-12-04
191,Прасковья Калачева,189304776,1985-04-17,1989-04-04
192,Еремей Калачев,896504494,1994-11-15,1995-10-11
193,Добрыня Смирнов,769420047,1997-10-24,1999-02-22
194,Агафья Грибова,747700363,1995-02-05,1999-03-15
195,Клавдия Агапова,566616497,1985-10-19,1999-06-09
196,Ираида Минина,434961044,1990-12-08,1996-04-12
197,Харитон Васильев,184009061,1987-05-21,1995-03-01
198,Ираида Черная,249048118,1988-05-30,1993-05-04
199,Мирон Васильев,340682965,1981-07-19,1996-07-15
200,Христофор Соколов,320008840,1981-09-22,1998-06-28
201,Варлам Елизаров,071894174,1994-06-26,1994-11-23
202,Прасковья Елизарова,850508279,1983-05-06,1989-06-26
203,Феврония Васильева,926147323,1992-11-04,1996-08-30
204,Авдей Кузнецов,611441988,1993-07-21,1997-11-26
205,Евграф Минин,071211627,1986-06-26,1999-08-21
206,Ираида Агапова,033942790,1997-10-12,1998-12-03
207,Клавдия Лыкова,629987298,1991-12-29,1992-01-20
208,Злата Кузнецова,486206382,1990-08-11,1996-01-30
209,Злата Лыкова,845463837,1991-11-24,1997-11-15
210,Аристарх Михайлов,769769708,1996-04-09,1998-11-04
211,Мирон Соколов,498762099,1987-08-26,1989-07-10
212,Варлам Агапов,129454423,1982-09-04,1985-04-27
213,Харитон Грибов,554777940,1981-05-25,1998-09-04
214,Клавдия Иванова,934477415,1989-05-09,1997-11-02
215,Аристарх Васильев,741934617,1982-02-17,1983-11-08
216,Ульяна Калачева,735358085,1993-04-05,1999-10-12
217,Варлам Кузнецов,506550314,1981-06-16,1990-02-09
218,Аристарх Черный,693764424,1991-08-01,1992-06-27
219,Митрофан Калачев,876101328,1996-01-12,1996-07-31
220,Еремей Лыков,405430323,1992-12-12,1998-06-24
221,Злата Петрова,881661542,1993-11-11,1995-09-17
222,Прасковья Черная,046701686,1982-10-17,1989-03-31
223,Авдей Елизаров,389577664,1984-09-04,1996-01-03
224,Злата Кузнецова,593786057,1993-04-11,1994-08-30
225,Ульяна Иванова,909407112,1986-12-02,1993-05-15
226,Алевтина Минина,456226611,1990-12-30,1996-08-17
227,Прасковья Васильева,556568372,1983-12-14,1984-09-20
228,Митрофан Михайлов,780501809,1993-07-03,1993-09-01
229,Клавдия Калачева,833656343,1993-11-08,1998-03-25
230,Мирон Елизаров,470698322,1996-01-07,1998-10-31
231,Василиса Соколова,845434826,1986-08-03,1990-02-11
232,Варлам Михайлов,788194919,1986-01-24,1991-12-19
233,Христофор Васильев,861941800,1995-04-03,1996-01-02
234,Агафья Агапова,156304382,1982-08-08,1998-10-17
235,Добрыня Соколов,809919273,1985-11-12,1987-10-29
236,Мирон Елизаров,038895344,1993-10-15,1996-03-08
237,Христофор Иванов,590868793,1986-08-15,1999-07-18
238,Прасковья Калачева,224098183,1994-05-30,1998-11-07
239,Ульяна Соколова,408981478,1991-04-28,1999-01-17
240,Ираида Грибова,919358014,1983-05-09,1990-04-11
241,Ираида Грибова,325459084,1984-03-31,1996-08-11
242,Прасковья Агапова,537839521,1989-01-11,1994-08-31
243,Пелагея Минина,332988098,1997-01-18,1998-01-11
244,Ираида Соколова,527977781,1982-04-21,1992-04-14
245,Алевтина Черная,540014655,1988-06-03,1991-05-23
246,Агафья Петрова,866875040,1990-03-30,1997-10-28
247,Прасковья Петрова,378580244,1982-09-14,1992-05-13
248,Злата Елизарова,000357618,1990-02-12,1996-05-30
249,Христофор Кузнецов,659856456,1987-06-13,1995-10-02
250,Злата Соколова,017331540,1984-02-14,1987-03-21
251,Христофор Агапов,477435468,1997-07-09,1999-07-03
252,Алевтина Михайлова,275110166,1984-08-28,1990-09-20
253,Клавдия Елизарова,302467877,1985-05-07,1996-06-08
254,Злата Грибова,329631328,1992-10-08,1994-08-30
255,Аристарх Елизаров,990504182,1985-04-06,1987-09-21
256,Авдей Лыков,517287242,1989-06-23,1993-11-06
257,Прасковья Елизарова,832381946,1992-09-09,1993-03-30
258,Агафья Агапова,831060501,1987-10-19,1993-08-07
259,Харитон Смирнов,999547527,1996-12-18,1999-09-05
260,Евграф Лыков,354158916,1990-01-27,1991-06-29
261,Еремей Михайлов,789165692,1991-04-12,1993-05-25
262,Агафья Иванова,725377984,1996-09-05,1997-06-30
263,Евграф Соколов,343323339,1993-01-05,1999-10-02
264,Авдей Лыков,708101809,1990-11-06,1993-08-13
265,Еремей Грибов,763660463,1985-02-09,1993-06-06
266,Варлам Иванов,990768437,1995-09-01,1996-05-11
267,Феврония Лыкова,958012210,1994-01-16,1996-12-02
268,Феврония Калачева,406669726,1991-06-03,1995-03-26
269,Алевтина Елизарова,592678599,1993-11-02,1996-08-01
270,Ульяна Смирнова,678788935,1990-12-14,1993-09-18
271,Феврония Калачева,345942857,1996-11-17,1996-12-06
272,Варлам Соколов,375662303,1988-07-29,1993-12-10
273,Аристарх Грибов,219440610,1992-08-11,1998-01-06
274,Варлам Васильев,124539760,1981-12-19,1993-12-10
275,Прасковья Минина,822013280,1995-02-01,1995-11-29
276,Аристарх Минин,642646752,1995-02-28,1996-09-03
277,Авдей Соколов,204330547,1992-03-13,1998-07-05
278,Василиса Иванова,750791755,1997-06-20,1997-12-12
279,Митрофан Кузнецов,876208791,1987-02-11,1995-09-15
280,Василиса Елизарова,991154027,1981-04-30,1996-01-11
281,Пелагея Черная,396301957,1987-03-26,1996-12-05
282,Добрыня Грибов,935601221,1996-11-30,1998-05-22
283,Авдей Кузнецов,407268421,1995-07-03,1996-04-11
284,Добрыня Грибов,014959892,1990-12-11,1993-02-11
285,Ульяна Черная,984444318,1991-05-25,1994-10-21
286,Евграф Кузнецов,109738525,1995-09-16,1996-08-24
287,Евграф Васильев,692086129,1987-05-03,1998-02-12
288,Феврония Агапова,889488471,1996-04-10,1997-08-30
289,Василиса Минина,243928896,1986-11-06,1997-03-15
290,Варлам Иванов,228121213,1996-05-20,1998-12-10
291,Феврония Кузнецова,221293435,1982-10-11,1999-10-19
292,Пелагея Смирнова,034436814,1990-05-27,1995-08-29
293,Феврония Черная,881033085,1995-10-03,1997-12-23
294,Прасковья Минина,715264089,1987-10-06,1999-02-24
295,Пелагея Соколова,209712692,1992-10-09,1993-08-03
296,Ульяна Минина,479173889,1981-03-12,1990-12-05
297,Ульяна Попова,141031292,1981-11-13,1998-02-18
298,Клавдия Иванова,311704542,1987-08-21,1989-06-15
299,Агафья Кузнецова,262486684,1986-01-03,1992-03-20
300,Аристарх Смирнов,763823892,1991-02-10,1995-05-21
301,Добрыня Иванов,707500464,1994-10-25,1996-12-14
302,Ираида Петрова,030666670,1988-02-18,1997-06-08
303,Алевтина Минина,542111246,1993-10-14,1993-12-29
304,Харитон Михайлов,239428918,1989-04-09,1990-01-23
305,Харитон Минин,637780356,1990-04-24,1995-07-28
306,Прасковья Васильева,825299384,1991-11-06,1996-02-07
307,Аристарх Агапов,831291278,1997-09-04,1999-06-20
308,Добрыня Петров,469688231,1995-08-18,1998-02-02
309,Клавдия Соколова,709650016,1986-08-25,1992-04-11
310,Злата Минина,274626207,1986-08-19,1988-06-22
311,Аристарх Михайлов,960603080,1987-06-17,1997-06-14
312,Ульяна Михайлова,444868556,1985-05-22,1990-11-01
313,Клавдия Елизарова,709988968,1987-10-12,1991-02-13
314,Митрофан Иванов,171179981,1987-01-03,1992-08-01
315,Феврония Иванова,878496233,1984-11-24,1993-06-12
316,Евграф Елизаров,132233575,1994-12-16,1995-06-07
317,Агафья Грибова,574004631,1992-03-17,1999-04-25
318,Ираида Петрова,955381669,1985-09-20,1987-09-17
319,Ульяна Калачева,579525621,1989-08-05,1990-12-28
320,Аристарх Попов,460114824,1985-12-28,1986-07-29
321,Еремей Смирнов,372957557,1984-08-23,1985-04-12
322,Пелагея Кузнецова,023606786,1984-02-15,1987-10-05
323,Пелагея Петрова,363601683,1991-05-24,1998-03-03
324,Клавдия Смирнова,228644195,1992-05-14,1995-08-13
325,Митрофан Черный,076414702,1986-06-05,1996-03-31
326,Харитон Калачев,644763403,1996-10-02,1998-07-27
327,Ираида Соколова,680621620,1988-07-01,1990-02-20
328,Прасковья Елизарова,545206934,1994-01-02,1998-01-11
329,Агафья Попова,035191602,1994-01-22,1997-10-27
330,Мирон Лыков,696043606,1996-02-13,1996-12-03
331,Авдей Попов,202950768,1995-08-20,1998-11-09
332,Прасковья Калачева,252210285,1995-11-14,1998-04-30
333,Злата Лыкова,109026573,1983-01-16,1999-04-01
334,Агафья Иванова,179902074,1984-12-16,1997-04-06
335,Варлам Елизаров,111379049,1997-07-17,1999-02-06
336,Пелагея Черная,245016809,1983-05-04,1988-11-14
337,Клавдия Иванова,595998383,1987-01-21,1992-12-15
338,Алевтина Грибова,848734283,1996-04-03,1999-02-05
339,Аристарх Елизаров,670321383,1985-10-13,1997-04-19
340,Христофор Агапов,134379414,1990-04-19,1990-09-27
341,Митрофан Соколов,197632726,1997-08-25,1998-06-02
342,Митрофан Грибов,240026753,1990-05-02,1996-05-26
343,Евграф Минин,347456645,1981-03-01,1992-09-08
344,Агафья Иванова,956901453,1988-11-21,1996-08-18
345,Христофор Михайлов,541150583,1990-09-18,1999-03-07
346,Клавдия Минина,601670444,1986-09-24,1994-09-20
347,Ираида Иванова,325599786,1996-10-03,1999-01-08
348,Феврония Калачева,992263376,1988-05-28,1998-12-08
349,Прасковья Михайлова,738387609,1982-10-09,1989-12-21
350,Авдей Иванов,599676412,1995-08-05,1997-05-14
351,Харитон Черный,696281647,1984-06-23,1988-02-03
352,Евграф Иванов,199689313,1995-04-19,1998-08-01
353,Пелагея Соколова,424940883,1995-06-05,1996-03-16
354,Митрофан Грибов,075624364,1988-06-09,1989-03-16
355,Евграф Лыков,563894546,1987-12-28,1988-05-18
356,Аристарх Агапов,214523471,1984-04-20,1992-08-29
357,Феврония Лыкова,465622997,1991-04-06,1994-09-29
358,Ираида Васильева,717126231,1986-11-09,1998-10-24
359,Алевтина Черная,303924263,1982-08-15,1999-08-05
360,Злата Грибова,571488575,1997-09-26,1998-07-05
361,Прасковья Смирнова,825333817,1982-08-02,1983-05-10
362,Феврония Михайлова,444529835,1994-02-14,1997-03-22
363,Ульяна Кузнецова,554908074,1991-11-30,1997-03-12
364,Агафья Лыкова,986156961,1984-01-25,1997-02-05
365,Христофор Петров,987495896,1986-09-10,1991-04-15
366,Ираида Иванова,895291707,1990-02-16,1991-04-11
367,Клавдия Грибова,286850954,1984-02-02,1997-01-14
368,Добрыня Агапов,147081127,1986-05-13,1992-02-19
369,Прасковья Кузнецова,143760151,1996-04-29,1996-11-21
370,Клавдия Грибова,245936852,1981-02-28,1998-08-21
371,Еремей Калачев,911633560,1989-05-25,1992-10-31
372,Авдей Иванов,015362603,1984-08-01,1998-06-19
373,Евграф Иванов,646402987,1981-07-18,1983-08-25
374,Мирон Васильев,629361085,1981-07-25,1988-09-15
375,Аристарх Грибов,485756881,1994-08-17,1996-11-27
376,Клавдия Соколова,969637885,1986-02-23,1988-12-22
377,Христофор Калачев,852448484,1982-06-03,1995-08-22
378,Митрофан Агапов,769758992,1991-05-02,1999-02-04
379,Евграф Иванов,803313940,1988-01-04,1995-02-27
380,Ираида Черная,851646223,1991-05-05,1994-10-04
381,Мирон Петров,049009300,1992-04-12,1992-05-24
382,Харитон Елизаров,938608977,1981-08-02,1996-11-30
383,Христофор Иванов,110087581,1987-01-13,1997-08-22
384,Клавдия Минина,679126823,1985-05-15,1985-08-24
385,Агафья Михайлова,328523592,1985-07-17,1986-01-08
386,Еремей Смирнов,688239567,1984-05-05,1994-05-27
387,Ульяна Агапова,763519006,1988-07-14,1992-05-25
388,Ираида Соколова,024805583,1996-12-11,1998-05-25
389,Евграф Попов,225623935,1991-10-12,1995-05-26
390,Митрофан Попов,499217012,1987-05-02,1997-09-14
391,Митрофан Лыков,150258333,1989-04-03,1992-08-25
392,Феврония Черная,300958255,1992-06-04,1994-04-29
393,Христофор Лыков,599488869,1996-08-14,1997-03-04
394,Злата Попова,532314857,1984-09-27,1987-01-29
395,Варлам Петров,634262504,1986-03-16,1995-06-14
396,Ульяна Елизарова,218297814,1983-12-15,1984-03-12
397,Харитон Черный,683857807,1994-04-12,1995-03-11
398,Христофор Кузнецов,636930301,1986-02-23,1993-06-19
399,Пелагея Смирнова,358759514,1996-06-16,1997-01-01
400,Аристарх Михайлов,791776730,1994-12-03,1997-08-09
401,Христофор Михайлов,540163737,1984-01-19,1991-04-22
402,Василиса Васильева,796570761,1987-11-12,1988-09-29
403,Прасковья Попова,338472694,1982-05-05,1984-02-23
404,Агафья Смирнова,878378678,1981-08-30,1997-04-15
405,Клавдия Черная,688812977,1984-08-22,1987-10-14
406,Алевтина Васильева,961878610,1995-12-18,1997-03-30
407,Добрыня Михайлов,756808294,1990-12-01,1994-11-20
408,Варлам Елизаров,241969688,1981-09-30,1997-11-20
409,Клавдия Лыкова,999059611,1992-04-19,1997-11-16
410,Добрыня Соколов,635092781,1987-04-05,1988-05-13
411,Аристарх Кузнецов,670449455,1992-02-17,1997-12-09
412,Авдей Черный,185058247,1996-10-14,1996-11-02
413,Авдей Васильев,437984162,1990-05-13,1996-11-16
414,Евграф Попов,484767826,1993-01-26,1996-06-24
415,Харитон Агапов,585221306,1986-03-19,1989-03-04
416,Злата Иванова,934175020,1983-06-29,1997-07-22
417,Христофор Черный,953315400,1991-03-21,1999-06-26
418,Харитон Соколов,265934544,1996-04-17,1999-07-25
419,Мирон Минин,880604224,1992-01-15,1996-06-04
420,Мирон Михайлов,993110083,1995-10-17,1996-11-23
421,Митрофан Минин,636454295,1987-10-19,1992-02-04
422,Пелагея Грибова,526033402,1990-05-14,1995-11-14
423,Клавдия Иванова,073336883,1991-04-14,1995-09-08
424,Агафья Грибова,446393132,1992-11-15,1999-07-11
425,Прасковья Агапова,152192612,1985-08-25,1989-08-23
426,Харитон Иванов,694014202,1987-02-18,1999-01-21
427,Митрофан Агапов,014057259,1996-12-10,1998-07-06
428,Варлам Соколов,988320744,1995-12-03,1997-05-20
429,Авдей Минин,132109465,1990-06-21,1992-01-07
430,Прасковья Васильева,204886840,1992-02-20,1992-04-01
431,Мирон Попов,469645445,1983-03-03,1999-07-30
432,Еремей Лыков,484691794,1996-04-26,1998-09-25
433,Василиса Черная,301073062,1986-09-08,1989-11-19
434,Ираида Елизарова,370695253,1996-10-18,1999-08-07
435,Митрофан Попов,004208038,1989-01-12,1991-08-10
436,Ульяна Агапова,838471415,1985-05-25,1991-06-27
437,Варлам Черный,095392641,1985-09-11,1990-03-04
438,Мирон Попов,001068435,1986-04-27,1988-10-01
439,Алевтина Кузнецова,565139076,1994-02-06,1999-04-03
440,Ульяна Кузнецова,586181914,1991-05-03,1999-05-11
441,Василиса Грибова,455970655,1992-03-28,1994-06-11
442,Мирон Черный,772580878,1986-07-01,1992-12-12
443,Клавдия Грибова,040607601,1982-08-10,1992-06-12
444,Клавдия Черная,945082941,1986-12-15,1989-08-14
445,Пелагея Смирнова,792841735,1989-03-28,1994-07-30
446,Харитон Елизаров,527813097,1981-07-11,1983-12-07
447,Харитон Грибов,827328746,1986-01-26,1988-03-27
448,Варлам Агапов,833686281,1994-12-15,1995-12-17
449,Клавдия Елизарова,457846875,1984-07-17,1991-08-03
450,Авдей Минин,204520740,1984-06-07,1993-03-14
451,Мирон Лыков,460578042,1996-11-24,1999-09-20
452,Харитон Минин,284840261,1990-05-30,1995-07-27
453,Добрыня Петров,840230657,1981-06-26,1982-08-15
454,Добрыня Минин,087008405,1995-01-07,1996-08-03
455,Ираида Попова,868681211,1993-07-06,1994-09-07
456,Авдей Соколов,170089023,1986-11-07,1986-12-19
457,Алевтина Лыкова,381964710,1985-08-01,1991-04-22
458,Василиса Черная,833897951,1991-07-26,1996-05-17
459,Прасковья Васильева,935687392,1992-04-20,1992-06-10
460,Феврония Попова,522283833,1989-09-10,1992-11-19
461,Ульяна Минина,983488550,1991-12-21,1997-06-21
462,Еремей Васильев,031262085,1981-04-09,1990-09-11
463,Пелагея Васильева,805269483,1981-07-10,1990-10-25
464,Митрофан Грибов,071121125,1994-08-07,1998-02-21
465,Феврония Грибова,291170997,1994-04-05,1999-10-11
466,Ульяна Смирнова,531257977,1986-11-11,1996-09-23
467,Ираида Грибова,137542374,1994-04-01,1996-06-29
468,Варлам Черный,906035449,1995-08-03,1997-08-30
469,Прасковья Агапова,383583132,1984-06-01,1994-08-11
470,Варлам Минин,592951432,1990-11-28,1998-05-27
471,Злата Грибова,174599659,1990-05-20,1995-07-24
472,Еремей Калачев,645316118,1986-04-30,1993-01-18
473,Агафья Агапова,656357418,1994-12-13,1998-12-24
